YEAR,MONTH_NUM,DAY,T2M,PRECTOTCORR,RH2M,WS2M,T2M_MAX,T2M_MIN,DATE,MONTH
2020,1,2,20.74,0.05,66.21,1.17,27.14,15.69,2020-01-02,1
2020,1,3,20.27,0.08,70.78,1.29,26.08,16.28,2020-01-03,1
2020,1,4,19.92,0.04,65.74,1.19,26.61,14.99,2020-01-04,1
2020,1,5,20.37,0.01,60.14,1.06,27.15,14.85,2020-01-05,1
2020,1,6,19.76,0.01,63.17,1.53,27.57,13.02,2020-01-06,1
2020,1,7,19.84,0.13,69.78,2.15,26.82,14.6,2020-01-07,1
2020,1,8,19.47,0.02,61.94,2.04,27.51,13.99,2020-01-08,1
2020,1,9,20.27,0.0,52.29,1.28,28.33,14.82,2020-01-09,1
2020,1,10,20.21,0.0,53.91,1.02,28.17,14.43,2020-01-10,1
2020,1,11,20.01,0.13,62.11,1.73,27.37,13.68,2020-01-11,1
2020,1,12,17.95,1.69,75.98,2.85,24.24,14.04,2020-01-12,1
2020,1,13,17.9,0.37,73.95,2.22,25.17,12.73,2020-01-13,1
2020,1,14,17.87,0.66,74.64,2.65,25.46,12.79,2020-01-14,1
2020,1,15,17.6,0.26,71.76,2.23,25.45,11.9,2020-01-15,1
2020,1,16,17.16,0.0,58.2,1.94,26.12,11.75,2020-01-16,1
2020,1,17,17.44,0.0,44.88,1.55,27.92,8.88,2020-01-17,1
2020,1,18,17.23,0.0,43.22,1.87,27.22,9.67,2020-01-18,1
2020,1,19,17.45,0.0,44.37,1.87,26.77,10.33,2020-01-19,1
2020,1,20,17.18,0.0,50.11,2.27,25.61,10.8,2020-01-20,1
2020,1,21,17.64,0.0,58.68,2.09,27.02,10.91,2020-01-21,1
2020,1,22,18.76,0.0,57.3,1.42,27.89,11.41,2020-01-22,1
2020,1,23,19.9,0.01,57.85,0.77,28.31,12.41,2020-01-23,1
2020,1,24,19.74,0.6,68.57,1.83,27.51,13.77,2020-01-24,1
2020,1,25,18.86,3.0,79.14,2.36,23.72,15.55,2020-01-25,1
2020,1,26,18.6,0.41,75.63,3.24,25.12,14.48,2020-01-26,1
2020,1,27,19.64,0.16,73.5,2.53,26.63,14.26,2020-01-27,1
2020,1,28,19.87,0.29,74.2,1.81,26.33,15.86,2020-01-28,1
2020,1,29,20.47,0.06,65.24,1.37,27.8,15.13,2020-01-29,1
2020,1,30,21.21,0.03,57.65,1.72,29.71,14.01,2020-01-30,1
2020,1,31,21.04,0.02,55.65,1.07,28.42,14.76,2020-01-31,1
